Record Length,2500,Points,0.0,-8.159999847,,Record Length,2500,Points,0.0,15.9999989E-3,
Sample Interval,2.0000001E-3,s,2.0000001E-3,-8.079999924,,Sample Interval,2.0000001E-3,s,2.0000001E-3,11.9999992E-3,
Trigger Point,0.0,Samples,4.00000019E-3,-8.079999924,,Trigger Point,0.0,Samples,4.00000019E-3,15.9999989E-3,
,,,6.00000005E-3,-8.079999924,,,,,6.00000005E-3,23.99999835E-3,
,,,8.000000380E-3,-8.079999924,,,,,8.000000380E-3,39.99999911E-3,
,,,10.0000007E-3,-8.000000000,,,,,10.0000007E-3,51.99999735E-3,
Source,CH1,,12.0000001E-3,-8.000000000,,Source,CH2,,12.0000001E-3,51.99999735E-3,
Vertical Units,Volts,,14.0000004E-3,-8.000000000,,Vertical Units,Volts,,14.0000004E-3,51.99999735E-3,
Vertical Scale,2.0478125,,16.0000008E-3,-8.000000000,,Vertical Scale,102.3906179E-3,,16.0000008E-3,47.99999669E-3,
Vertical Offset,0,,18.0000011E-3,-8.000000000,,Vertical Offset,0,,18.0000011E-3,39.99999911E-3,
Horizontal Units,s,,20.0000014E-3,-7.919999599,,Horizontal Units,s,,20.0000014E-3,39.99999911E-3,
Horizontal Scale,500.000023749E-3,,22.00000174E-3,-7.919999599,,Horizontal Scale,500.000023749E-3,,22.00000174E-3,47.99999669E-3,
Pt Fmt,Y,,24.00000021E-3,-7.919999599,,Pt Fmt,Y,,24.00000021E-3,55.999994278E-3,
Yzero,3.35968259,,26.00000054E-3,-7.919999599,,Yzero,-2.92995575,,26.00000054E-3,71.999996901E-3,
Probe Atten,1.000000,,28.00000086E-3,-7.919999599,,Probe Atten,1.000000,,28.00000086E-3,79.999998212E-3,
,,,30.00000119E-3,-7.839999676,,,,,30.00000119E-3,75.999997556E-3,
Note,TBS 1102 - 10:03:31   15/05/2025,,32.00000152E-3,-7.839999676,,Note,TBS 1102 - 10:03:31   15/05/2025,,32.00000152E-3,71.999996901E-3,
,,,34.00000185E-3,-7.839999676,,,,,34.00000185E-3,63.999995589E-3,
,,,36.00000218E-3,-7.839999676,,,,,36.00000218E-3,59.999994934E-3,
,,,38.00000250E-3,-7.759999752,,,,,38.00000250E-3,63.999995589E-3,
,,,40.00000283E-3,-7.759999752,,,,,40.00000283E-3,75.999997556E-3,
,,,42.00000316E-3,-7.759999752,,,,,42.00000316E-3,87.999992073E-3,
,,,44.00000349E-3,-7.679999828,,,,,44.00000349E-3,99.999994040E-3,
,,,46.00000381E-3,-7.759999752,,,,,46.00000381E-3,99.999994040E-3,
,,,48.00000042E-3,-7.679999828,,,,,48.00000042E-3,91.999992728E-3,
,,,50.00000075E-3,-7.679999828,,,,,50.00000075E-3,87.999992073E-3,
,,,52.00000107E-3,-7.599999905,,,,,52.00000107E-3,79.999998212E-3,
,,,54.00000140E-3,-7.679999828,,,,,54.00000140E-3,83.999991417E-3,
,,,56.000001729E-3,-7.599999905,,,,,56.000001729E-3,91.999992728E-3,
,,,58.000002056E-3,-7.599999905,,,,,58.000002056E-3,99.999994040E-3,
,,,60.000002384E-3,-7.599999905,,,,,60.000002384E-3,111.9999886E-3,
,,,62.000002712E-3,-7.599999905,,,,,62.000002712E-3,115.9999892E-3,
,,,64.000003040E-3,-7.519999981,,,,,64.000003040E-3,115.9999892E-3,
,,,65.999999642E-3,-7.599999905,,,,,65.999999642E-3,103.9999947E-3,
,,,68.000003695E-3,-7.519999981,,,,,68.000003695E-3,95.999993384E-3,
,,,70.000000298E-3,-7.599999905,,,,,70.000000298E-3,99.999994040E-3,
,,,72.000004351E-3,-7.440000057,,,,,72.000004351E-3,103.9999947E-3,
,,,74.000000954E-3,-7.440000057,,,,,74.000000954E-3,111.9999886E-3,
,,,76.000005007E-3,-7.440000057,,,,,76.000005007E-3,123.9999905E-3,
,,,78.000001609E-3,-7.440000057,,,,,78.000001609E-3,127.9999912E-3,
,,,80.000005662E-3,-7.35999966,,,,,80.000005662E-3,123.9999905E-3,
,,,82.000002265E-3,-7.35999966,,,,,82.000002265E-3,119.9999899E-3,
,,,84.000006318E-3,-7.35999966,,,,,84.000006318E-3,115.9999892E-3,
,,,86.000002921E-3,-7.35999966,,,,,86.000002921E-3,111.9999886E-3,
,,,88.000006974E-3,-7.35999966,,,,,88.000006974E-3,119.9999899E-3,
,,,90.000003576E-3,-7.27999973,,,,,90.000003576E-3,123.9999905E-3,
,,,92.000007629E-3,-7.35999966,,,,,92.000007629E-3,131.9999844E-3,
,,,94.000004232E-3,-7.27999973,,,,,94.000004232E-3,135.9999925E-3,
,,,96.000000834E-3,-7.27999973,,,,,96.000000834E-3,135.9999925E-3,
,,,98.000004888E-3,-7.27999973,,,,,98.000004888E-3,131.9999844E-3,
,,,100.0000015E-3,-7.19999981,,,,,100.0000015E-3,131.9999844E-3,
,,,102.0000055E-3,-7.27999973,,,,,102.0000055E-3,123.9999905E-3,
,,,104.0000021E-3,-7.11999989,,,,,104.0000021E-3,119.9999899E-3,
,,,106.0000062E-3,-7.19999981,,,,,106.0000062E-3,127.9999912E-3,
,,,108.0000028E-3,-7.11999989,,,,,108.0000028E-3,135.9999925E-3,
,,,110.0000069E-3,-7.11999989,,,,,110.0000069E-3,143.9999938E-3,
,,,112.0000035E-3,-7.11999989,,,,,112.0000035E-3,147.9999870E-3,
,,,114.0000075E-3,-7.11999989,,,,,114.0000075E-3,143.9999938E-3,
,,,116.0000041E-3,-7.11999989,,,,,116.0000041E-3,139.9999857E-3,
,,,118.0000082E-3,-7.11999989,,,,,118.0000082E-3,135.9999925E-3,
,,,120.0000048E-3,-7.03999996,,,,,120.0000048E-3,135.9999925E-3,
,,,122.0000088E-3,-7.03999996,,,,,122.0000088E-3,139.9999857E-3,
,,,124.0000054E-3,-7.03999996,,,,,124.0000054E-3,139.9999857E-3,
,,,126.0000020E-3,-6.96000004,,,,,126.0000020E-3,151.99999511E-3,
,,,128.0000061E-3,-6.96000004,,,,,128.0000061E-3,151.99999511E-3,
,,,130.0000101E-3,-6.96000004,,,,,130.0000101E-3,155.99998832E-3,
,,,131.9999993E-3,-6.87999964,,,,,131.9999993E-3,147.9999870E-3,
,,,134.0000033E-3,-6.87999964,,,,,134.0000033E-3,143.9999938E-3,
,,,136.0000074E-3,-6.79999971,,,,,136.0000074E-3,139.9999857E-3,
,,,138.0000114E-3,-6.87999964,,,,,138.0000114E-3,143.9999938E-3,
,,,140.0000006E-3,-6.87999964,,,,,140.0000006E-3,147.9999870E-3,
,,,142.0000046E-3,-6.79999971,,,,,142.0000046E-3,151.99999511E-3,
,,,144.0000087E-3,-6.79999971,,,,,144.0000087E-3,159.99999642E-3,
,,,146.0000128E-3,-6.79999971,,,,,146.0000128E-3,155.99998832E-3,
,,,148.0000019E-3,-6.79999971,,,,,148.0000019E-3,155.99998832E-3,
,,,150.00000596E-3,-6.79999971,,,,,150.00000596E-3,155.99998832E-3,
,,,152.00001001E-3,-6.71999979,,,,,152.00001001E-3,147.9999870E-3,
,,,154.00001407E-3,-6.71999979,,,,,154.00001407E-3,147.9999870E-3,
,,,156.00000322E-3,-6.71999979,,,,,156.00000322E-3,151.99999511E-3,
,,,158.00000727E-3,-6.63999987,,,,,158.00000727E-3,155.99998832E-3,
,,,160.00001132E-3,-6.63999987,,,,,160.00001132E-3,159.99999642E-3,
,,,162.00000048E-3,-6.63999987,,,,,162.00000048E-3,163.99998963E-3,
,,,164.00000453E-3,-6.63999987,,,,,164.00000453E-3,163.99998963E-3,
,,,166.00000858E-3,-6.63999987,,,,,166.00000858E-3,159.99999642E-3,
,,,168.00001264E-3,-6.63999987,,,,,168.00001264E-3,155.99998832E-3,
,,,170.00000179E-3,-6.55999994,,,,,170.00000179E-3,155.99998832E-3,
,,,172.00000584E-3,-6.55999994,,,,,172.00000584E-3,155.99998832E-3,
,,,174.00000989E-3,-6.48000002,,,,,174.00000989E-3,159.99999642E-3,
,,,176.00001395E-3,-6.48000002,,,,,176.00001395E-3,163.99998963E-3,
,,,178.00000310E-3,-6.48000002,,,,,178.00000310E-3,167.99998283E-3,
,,,180.00000715E-3,-6.48000002,,,,,180.00000715E-3,167.99998283E-3,
,,,182.00001121E-3,-6.48000002,,,,,182.00001121E-3,163.99998963E-3,
,,,184.00001526E-3,-6.48000002,,,,,184.00001526E-3,159.99999642E-3,
,,,186.00000441E-3,-6.39999962,,,,,186.00000441E-3,155.99998832E-3,
,,,188.00000846E-3,-6.39999962,,,,,188.00000846E-3,159.99999642E-3,
,,,190.00001252E-3,-6.39999962,,,,,190.00001252E-3,163.99998963E-3,
,,,192.00000167E-3,-6.31999969,,,,,192.00000167E-3,167.99998283E-3,
,,,194.00000572E-3,-6.31999969,,,,,194.00000572E-3,167.99998283E-3,
