Record Length,2500,Points,0.0,-5.39999962,,Record Length,2500,Points,0.0,283.99997950E-3,
Sample Interval,4.00000019E-3,s,4.00000019E-3,-5.59999943,,Sample Interval,4.00000019E-3,s,4.00000019E-3,287.99998760E-3,
Trigger Point,0.0,Samples,8.000000380E-3,-5.39999962,,Trigger Point,0.0,Samples,8.000000380E-3,283.99997950E-3,
,,,12.0000001E-3,-5.39999962,,,,,12.0000001E-3,291.99996591E-3,
,,,16.0000008E-3,-5.39999962,,,,,16.0000008E-3,291.99996591E-3,
,,,20.0000014E-3,-5.39999962,,,,,20.0000014E-3,291.99996591E-3,
Source,CH1,,24.00000021E-3,-5.39999962,,Source,CH2,,24.00000021E-3,279.99997139E-3,
Vertical Units,Volts,,28.00000086E-3,-5.39999962,,Vertical Units,Volts,,28.00000086E-3,283.99997950E-3,
Vertical Scale,5.11953094,,32.00000152E-3,-5.39999962,,Vertical Scale,102.3906179E-3,,32.00000152E-3,291.99996591E-3,
Vertical Offset,0,,36.00000218E-3,-5.19999981,,Vertical Offset,0,,36.00000218E-3,299.99998212E-3,
Horizontal Units,s,,40.00000283E-3,-5.19999981,,Horizontal Units,s,,40.00000283E-3,291.99996591E-3,
Horizontal Scale,1.0000000,,44.00000349E-3,-5.39999962,,Horizontal Scale,1.0000000,,44.00000349E-3,279.99997139E-3,
Pt Fmt,Y,,48.00000042E-3,-5.39999962,,Pt Fmt,Y,,48.00000042E-3,283.99997950E-3,
Yzero,2.89088967,,52.00000107E-3,-5.19999981,,Yzero,-3.82847551,,52.00000107E-3,299.99998212E-3,
Probe Atten,1.000000,,56.000001729E-3,-5.39999962,,Probe Atten,1.000000,,56.000001729E-3,295.99997401E-3,
,,,60.000002384E-3,-5.39999962,,,,,60.000002384E-3,291.99996591E-3,
Note,TBS 1102 - 9:56:31   15/05/2025,,64.000003040E-3,-5.19999981,,Note,TBS 1102 - 9:56:31   15/05/2025,,64.000003040E-3,287.99998760E-3,
,,,68.000003695E-3,-5.19999981,,,,,68.000003695E-3,295.99997401E-3,
,,,72.000004351E-3,-5.19999981,,,,,72.000004351E-3,299.99998212E-3,
,,,76.000005007E-3,-5.19999981,,,,,76.000005007E-3,291.99996591E-3,
,,,80.000005662E-3,-5.19999981,,,,,80.000005662E-3,295.99997401E-3,
,,,84.000006318E-3,-5.19999981,,,,,84.000006318E-3,291.99996591E-3,
,,,88.000006974E-3,-5.19999981,,,,,88.000006974E-3,291.99996591E-3,
,,,92.000007629E-3,-5.19999981,,,,,92.000007629E-3,291.99996591E-3,
,,,96.000000834E-3,-5.19999981,,,,,96.000000834E-3,299.99998212E-3,
,,,100.0000015E-3,-5.19999981,,,,,100.0000015E-3,299.99998212E-3,
,,,104.0000021E-3,-5.19999981,,,,,104.0000021E-3,295.99997401E-3,
,,,108.0000028E-3,-5.19999981,,,,,108.0000028E-3,287.99998760E-3,
,,,112.0000035E-3,-5.19999981,,,,,112.0000035E-3,295.99997401E-3,
,,,116.0000041E-3,-5.19999981,,,,,116.0000041E-3,299.99998212E-3,
,,,120.0000048E-3,-5.19999981,,,,,120.0000048E-3,303.99999022E-3,
,,,124.0000054E-3,-5.19999981,,,,,124.0000054E-3,295.99997401E-3,
,,,128.0000061E-3,-5.19999981,,,,,128.0000061E-3,287.99998760E-3,
,,,131.9999993E-3,-4.99999952,,,,,131.9999993E-3,299.99998212E-3,
,,,136.0000074E-3,-4.99999952,,,,,136.0000074E-3,299.99998212E-3,
,,,140.0000006E-3,-4.99999952,,,,,140.0000006E-3,299.99998212E-3,
,,,144.0000087E-3,-5.19999981,,,,,144.0000087E-3,291.99996591E-3,
,,,148.0000019E-3,-4.99999952,,,,,148.0000019E-3,291.99996591E-3,
,,,152.00001001E-3,-5.19999981,,,,,152.00001001E-3,299.99998212E-3,
,,,156.00000322E-3,-4.99999952,,,,,156.00000322E-3,299.99998212E-3,
,,,160.00001132E-3,-4.99999952,,,,,160.00001132E-3,295.99997401E-3,
,,,164.00000453E-3,-4.99999952,,,,,164.00000453E-3,295.99997401E-3,
,,,168.00001264E-3,-4.99999952,,,,,168.00001264E-3,295.99997401E-3,
,,,172.00000584E-3,-4.99999952,,,,,172.00000584E-3,295.99997401E-3,
,,,176.00001395E-3,-4.99999952,,,,,176.00001395E-3,299.99998212E-3,
,,,180.00000715E-3,-4.99999952,,,,,180.00000715E-3,299.99998212E-3,
,,,184.00001526E-3,-4.99999952,,,,,184.00001526E-3,299.99998212E-3,
,,,188.00000846E-3,-4.99999952,,,,,188.00000846E-3,295.99997401E-3,
,,,192.00000167E-3,-4.79999971,,,,,192.00000167E-3,295.99997401E-3,
,,,196.00000978E-3,-40.39999771,,,,,196.00000978E-3,-119.9999899E-3,
,,,200.00000298E-3,-40.39999771,,,,,200.00000298E-3,-119.9999899E-3,
,,,204.00001109E-3,-40.39999771,,,,,204.00001109E-3,-119.9999899E-3,
,,,208.00000429E-3,-40.39999771,,,,,208.00000429E-3,-119.9999899E-3,
,,,212.00001240E-3,-40.39999771,,,,,212.00001240E-3,-119.9999899E-3,
,,,216.00000560E-3,-40.39999771,,,,,216.00000560E-3,-119.9999899E-3,
,,,220.00001371E-3,-40.39999771,,,,,220.00001371E-3,-119.9999899E-3,
