Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.4
Horizontal Delay,0
Sample Interval,4e-05
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-0.08
,
,
,
Label,
TIME,CH1
-1.39328e+00,0.056
-1.39324e+00,0.068
-1.39320e+00,0.064
-1.39316e+00,0.064
-1.39312e+00,0.068
-1.39308e+00,0.068
-1.39304e+00,0.064
-1.39300e+00,0.064
-1.39296e+00,0.07
-1.39292e+00,0.07
-1.39288e+00,0.064
-1.39284e+00,0.07
-1.39280e+00,0.064
-1.39276e+00,0.068
-1.39272e+00,0.07
-1.39268e+00,0.07
-1.39264e+00,0.066
-1.39260e+00,0.066
-1.39256e+00,0.062
-1.39252e+00,0.06
-1.39248e+00,0.064
-1.39244e+00,0.066
-1.39240e+00,0.064
-1.39236e+00,0.066
-1.39232e+00,0.06
-1.39228e+00,0.064
-1.39224e+00,0.072
-1.39220e+00,0.072
-1.39216e+00,0.07
-1.39212e+00,0.068
-1.39208e+00,0.05
-1.39204e+00,0.062
-1.39200e+00,0.066
-1.39196e+00,0.072
-1.39192e+00,0.074
-1.39188e+00,0.074
-1.39184e+00,0.062
-1.39180e+00,0.058
-1.39176e+00,0.064
-1.39172e+00,0.068
-1.39168e+00,0.072
-1.39164e+00,0.066
-1.39160e+00,0.058
-1.39156e+00,0.066
-1.39152e+00,0.062
-1.39148e+00,0.068
-1.39144e+00,0.066
-1.39140e+00,0.064
-1.39136e+00,0.064
-1.39132e+00,0.056
-1.39128e+00,0.066
-1.39124e+00,0.036
-1.39120e+00,0.058
-1.39116e+00,0.064
-1.39112e+00,0.06
-1.39108e+00,0.058
-1.39104e+00,0.066
-1.39100e+00,0.072
-1.39096e+00,0.064
-1.39092e+00,0.06
-1.39088e+00,0.064
-1.39084e+00,0.064
-1.39080e+00,0.072
-1.39076e+00,0.066
-1.39072e+00,0.072
-1.39068e+00,0.07
-1.39064e+00,0.058
-1.39060e+00,0.066
-1.39056e+00,0.068
-1.39052e+00,0.066
-1.39048e+00,0.068
-1.39044e+00,0.068
-1.39040e+00,0.06
-1.39036e+00,0.064
-1.39032e+00,0.07
-1.39028e+00,0.066
-1.39024e+00,0.066
-1.39020e+00,0.056
-1.39016e+00,0.066
-1.39012e+00,0.046
-1.39008e+00,0.068
-1.39004e+00,0.064
-1.39000e+00,0.074
-1.38996e+00,0.062
-1.38992e+00,0.06
-1.38988e+00,0.058
-1.38984e+00,0.068
-1.38980e+00,0.07
-1.38976e+00,0.072
-1.38972e+00,0.06
-1.38968e+00,0.062
-1.38964e+00,0.06
-1.38960e+00,0.064
-1.38956e+00,0.06
-1.38952e+00,0.062
-1.38948e+00,0.056
-1.38944e+00,0.06
-1.38940e+00,0.07
-1.38936e+00,0.07
-1.38932e+00,0.07
-1.38928e+00,0.07
-1.38924e+00,0.056
-1.38920e+00,0.058
-1.38916e+00,0.056
-1.38912e+00,0.064
-1.38908e+00,0.074
-1.38904e+00,0.074
-1.38900e+00,0.05
-1.38896e+00,0.06
-1.38892e+00,0.064
-1.38888e+00,0.068
-1.38884e+00,0.066
-1.38880e+00,0.07
-1.38876e+00,0.058
-1.38872e+00,0.08
-1.38868e+00,0.064
-1.38864e+00,0.074
-1.38860e+00,0.068
-1.38856e+00,0.07
-1.38852e+00,0.06
-1.38848e+00,0.066
-1.38844e+00,0.074
-1.38840e+00,0.072
-1.38836e+00,0.07
-1.38832e+00,0.07
-1.38828e+00,0.068
-1.38824e+00,0.058
-1.38820e+00,0.066
-1.38816e+00,0.068
-1.38812e+00,0.062
-1.38808e+00,0.066
-1.38804e+00,0.062
-1.38800e+00,0.06
-1.38796e+00,0.058
-1.38792e+00,0.072
-1.38788e+00,0.064
-1.38784e+00,0.07
-1.38780e+00,0.06
-1.38776e+00,0.058
-1.38772e+00,0.068
-1.38768e+00,0.074
-1.38764e+00,0.068
-1.38760e+00,0.064
-1.38756e+00,0.064
-1.38752e+00,0.056
-1.38748e+00,0.066
-1.38744e+00,0.072
-1.38740e+00,0.07
-1.38736e+00,0.062
-1.38732e+00,0.06
-1.38728e+00,0.066
-1.38724e+00,0.072
-1.38720e+00,0.064
-1.38716e+00,0.062
-1.38712e+00,0.06
-1.38708e+00,0.06
-1.38704e+00,0.06
-1.38700e+00,0.072
-1.38696e+00,0.07
-1.38692e+00,0.074
-1.38688e+00,0.066
-1.38684e+00,0.064
-1.38680e+00,0.068
-1.38676e+00,0.062
-1.38672e+00,0.062
-1.38668e+00,0.068
-1.38664e+00,0.066
-1.38660e+00,0.058
-1.38656e+00,0.064
-1.38652e+00,0.062
-1.38648e+00,0.066
-1.38644e+00,0.068
-1.38640e+00,0.064
-1.38636e+00,0.062
-1.38632e+00,0.064
-1.38628e+00,0.068
-1.38624e+00,0.064
-1.38620e+00,0.062
-1.38616e+00,0.066
-1.38612e+00,0.068
-1.38608e+00,0.07
-1.38604e+00,0.066
-1.38600e+00,0.06
-1.38596e+00,0.062
-1.38592e+00,0.058
-1.38588e+00,0.062
-1.38584e+00,0.064
-1.38580e+00,0.072
-1.38576e+00,0.066
-1.38572e+00,0.07
-1.38568e+00,0.056
-1.38564e+00,0.064
-1.38560e+00,0.062
-1.38556e+00,0.052
-1.38552e+00,0.058
-1.38548e+00,0.068
-1.38544e+00,0.066
-1.38540e+00,0.058
-1.38536e+00,0.07
-1.38532e+00,0.066
-1.38528e+00,0.064
-1.38524e+00,0.07
-1.38520e+00,0.062
-1.38516e+00,0.06
-1.38512e+00,0.04
-1.38508e+00,0.07
-1.38504e+00,0.066
-1.38500e+00,0.076
-1.38496e+00,0.072
-1.38492e+00,0.054
-1.38488e+00,0.052
-1.38484e+00,0.062
-1.38480e+00,0.062
-1.38476e+00,0.072
-1.38472e+00,0.066
-1.38468e+00,0.062
-1.38464e+00,0.06
-1.38460e+00,0.07
-1.38456e+00,0.064
-1.38452e+00,0.068
-1.38448e+00,0.064
-1.38444e+00,0.064
-1.38440e+00,0.062
-1.38436e+00,0.062
-1.38432e+00,0.064
-1.38428e+00,0.066
-1.38424e+00,0.062
-1.38420e+00,0.06
-1.38416e+00,0.06
-1.38412e+00,0.064
-1.38408e+00,0.072
-1.38404e+00,0.068
-1.38400e+00,0.058
-1.38396e+00,0.05
-1.38392e+00,0.07
-1.38388e+00,0.066
-1.38384e+00,0.064
-1.38380e+00,0.072
-1.38376e+00,0.058
-1.38372e+00,0.054
-1.38368e+00,0.106
-1.38364e+00,0.066
-1.38360e+00,0.064
-1.38356e+00,0.074
-1.38352e+00,0.06
-1.38348e+00,0.056
-1.38344e+00,0.062
-1.38340e+00,0.068
-1.38336e+00,0.07
-1.38332e+00,0.064
-1.38328e+00,0.06
-1.38324e+00,0.064
-1.38320e+00,0.066
-1.38316e+00,0.062
-1.38312e+00,0.072
-1.38308e+00,0.072
-1.38304e+00,0.064
-1.38300e+00,0.062
-1.38296e+00,0.062
-1.38292e+00,0.07
-1.38288e+00,0.064
-1.38284e+00,0.07
-1.38280e+00,0.06
-1.38276e+00,0.058
-1.38272e+00,0.062
-1.38268e+00,0.066
-1.38264e+00,0.066
-1.38260e+00,0.07
-1.38256e+00,0.06
-1.38252e+00,0.06
-1.38248e+00,0.072
-1.38244e+00,0.062
-1.38240e+00,0.074
-1.38236e+00,0.07
-1.38232e+00,0.052
-1.38228e+00,0.066
-1.38224e+00,0.068
-1.38220e+00,0.066
-1.38216e+00,0.074
-1.38212e+00,0.064
-1.38208e+00,0.056
-1.38204e+00,0.066
-1.38200e+00,0.056
-1.38196e+00,0.064
-1.38192e+00,0.064
-1.38188e+00,0.07
-1.38184e+00,0.056
-1.38180e+00,0.068
-1.38176e+00,0.066
-1.38172e+00,0.068
-1.38168e+00,0.068
-1.38164e+00,0.066
-1.38160e+00,0.066
-1.38156e+00,0.056
-1.38152e+00,0.064
-1.38148e+00,0.06
-1.38144e+00,0.072
-1.38140e+00,0.062
-1.38136e+00,0.056
-1.38132e+00,0.056
-1.38128e+00,0.068
-1.38124e+00,0.072
-1.38120e+00,0.07
-1.38116e+00,0.068
-1.38112e+00,0.058
-1.38108e+00,0.064
-1.38104e+00,0.066
-1.38100e+00,0.072
-1.38096e+00,0.072
-1.38092e+00,0.056
-1.38088e+00,0.056
-1.38084e+00,0.07
-1.38080e+00,0.07
-1.38076e+00,0.064
-1.38072e+00,0.074
-1.38068e+00,0.06
-1.38064e+00,0.056
-1.38060e+00,0.07
-1.38056e+00,0.062
-1.38052e+00,0.066
-1.38048e+00,0.076
-1.38044e+00,0.06
-1.38040e+00,0.054
-1.38036e+00,0.074
-1.38032e+00,0.064
-1.38028e+00,0.066
-1.38024e+00,0.072
-1.38020e+00,0.062
-1.38016e+00,0.066
-1.38012e+00,0.052
-1.38008e+00,0.07
-1.38004e+00,0.076
-1.38000e+00,0.084
-1.37996e+00,0.064
-1.37992e+00,0.054
-1.37988e+00,0.056
-1.37984e+00,0.068
-1.37980e+00,0.074
-1.37976e+00,0.07
-1.37972e+00,0.068
-1.37968e+00,0.054
-1.37964e+00,0.056
-1.37960e+00,0.064
-1.37956e+00,0.07
-1.37952e+00,0.068
-1.37948e+00,0.052
-1.37944e+00,0.062
-1.37940e+00,0.066
-1.37936e+00,0.07
-1.37932e+00,0.068
-1.37928e+00,0.064
-1.37924e+00,0.062
-1.37920e+00,0.062
-1.37916e+00,0.068
-1.37912e+00,0.066
-1.37908e+00,0.072
-1.37904e+00,0.074
-1.37900e+00,0.058
-1.37896e+00,0.066
-1.37892e+00,0.062
-1.37888e+00,0.066
-1.37884e+00,0.07
-1.37880e+00,0.07
-1.37876e+00,0.062
-1.37872e+00,0.06
-1.37868e+00,0.068
-1.37864e+00,0.064
-1.37860e+00,0.062
-1.37856e+00,0.068
-1.37852e+00,0.06
-1.37848e+00,0.066
-1.37844e+00,0.054
-1.37840e+00,0.068
-1.37836e+00,0.064
-1.37832e+00,0.068
-1.37828e+00,0.058
-1.37824e+00,0.054
-1.37820e+00,0.056
-1.37816e+00,0.068
-1.37812e+00,0.07
-1.37808e+00,0.064
-1.37804e+00,0.062
-1.37800e+00,0.066
-1.37796e+00,0.06
-1.37792e+00,0.062
-1.37788e+00,0.068
-1.37784e+00,0.068
-1.37780e+00,0.054
-1.37776e+00,0.06
-1.37772e+00,0.06
-1.37768e+00,0.068
-1.37764e+00,0.062
-1.37760e+00,0.064
-1.37756e+00,0.054
-1.37752e+00,0.064
-1.37748e+00,0.062
-1.37744e+00,0.076
-1.37740e+00,0.068
-1.37736e+00,0.07
-1.37732e+00,0.056
-1.37728e+00,0.068
-1.37724e+00,0.066
-1.37720e+00,0.064
-1.37716e+00,0.07
-1.37712e+00,0.068
-1.37708e+00,0.056
-1.37704e+00,0.064
-1.37700e+00,0.062
-1.37696e+00,0.068
-1.37692e+00,0.066
-1.37688e+00,0.066
-1.37684e+00,0.052
-1.37680e+00,0.062
-1.37676e+00,0.074
-1.37672e+00,0.064
-1.37668e+00,0.07
-1.37664e+00,0.064
-1.37660e+00,0.054
-1.37656e+00,0.062
-1.37652e+00,0.058
-1.37648e+00,0.064
-1.37644e+00,0.072
-1.37640e+00,0.068
-1.37636e+00,0.066
-1.37632e+00,0.068
-1.37628e+00,0.062
-1.37624e+00,0.072
-1.37620e+00,0.064
-1.37616e+00,0.064
-1.37612e+00,0.056
-1.37608e+00,0.062
-1.37604e+00,0.068
-1.37600e+00,0.07
-1.37596e+00,0.068
-1.37592e+00,0.062
-1.37588e+00,0.06
-1.37584e+00,0.062
-1.37580e+00,0.056
-1.37576e+00,0.064
-1.37572e+00,0.074
-1.37568e+00,0.06
-1.37564e+00,0.06
-1.37560e+00,0.058
-1.37556e+00,0.06
-1.37552e+00,0.07
-1.37548e+00,0.062
-1.37544e+00,0.07
-1.37540e+00,0.056
-1.37536e+00,0.062
-1.37532e+00,0.074
-1.37528e+00,0.066
-1.37524e+00,0.022
-1.37520e+00,0.064
-1.37516e+00,0.056
-1.37512e+00,0.03
-1.37508e+00,0.062
-1.37504e+00,0.07
-1.37500e+00,0.076
-1.37496e+00,0.062
-1.37492e+00,0.06
-1.37488e+00,0.064
-1.37484e+00,0.062
-1.37480e+00,0.068
-1.37476e+00,0.07
-1.37472e+00,0.06
-1.37468e+00,0.056
-1.37464e+00,0.056
-1.37460e+00,0.068
-1.37456e+00,0.068
-1.37452e+00,0.068
-1.37448e+00,0.064
-1.37444e+00,0.06
-1.37440e+00,0.066
-1.37436e+00,0.072
-1.37432e+00,0.072
-1.37428e+00,0.066
-1.37424e+00,0.054
-1.37420e+00,0.054
-1.37416e+00,0.06
-1.37412e+00,0.074
-1.37408e+00,0.068
-1.37404e+00,0.068
-1.37400e+00,0.068
-1.37396e+00,0.062
-1.37392e+00,0.068
-1.37388e+00,0.06
-1.37384e+00,0.054
-1.37380e+00,0.062
-1.37376e+00,0.062
-1.37372e+00,0.056
-1.37368e+00,0.058
-1.37364e+00,0.074
-1.37360e+00,0.064
-1.37356e+00,0.074
-1.37352e+00,0.064
-1.37348e+00,0.066
-1.37344e+00,0.07
-1.37340e+00,0.07
-1.37336e+00,0.066
-1.37332e+00,0.066
-1.37328e+00,0.06
-1.37324e+00,0.062
-1.37320e+00,0.068
-1.37316e+00,0.066
-1.37312e+00,0.072
-1.37308e+00,0.08
-1.37304e+00,0.056
-1.37300e+00,0.056
-1.37296e+00,0.068
-1.37292e+00,0.064
-1.37288e+00,0.064
-1.37284e+00,0.07
-1.37280e+00,0.066
-1.37276e+00,0.062
-1.37272e+00,0.074
-1.37268e+00,0.066
-1.37264e+00,0.072
-1.37260e+00,0.064
-1.37256e+00,0.062
-1.37252e+00,0.054
-1.37248e+00,0.072
-1.37244e+00,0.058
-1.37240e+00,0.074
-1.37236e+00,0.068
-1.37232e+00,0.06
-1.37228e+00,0.072
-1.37224e+00,0.074
-1.37220e+00,0.062
-1.37216e+00,0.076
-1.37212e+00,0.07
-1.37208e+00,0.068
-1.37204e+00,0.056
-1.37200e+00,0.07
-1.37196e+00,0.066
-1.37192e+00,0.064
-1.37188e+00,0.06
-1.37184e+00,0.058
-1.37180e+00,0.06
-1.37176e+00,0.062
-1.37172e+00,0.046
-1.37168e+00,0.068
-1.37164e+00,0.06
-1.37160e+00,0.064
-1.37156e+00,0.064
-1.37152e+00,0.068
-1.37148e+00,0.072
-1.37144e+00,0.07
-1.37140e+00,0.06
-1.37136e+00,0.06
-1.37132e+00,0.068
-1.37128e+00,0.064
-1.37124e+00,0.072
-1.37120e+00,0.072
-1.37116e+00,0.066
-1.37112e+00,0.066
-1.37108e+00,0.068
-1.37104e+00,0.068
-1.37100e+00,0.078
-1.37096e+00,0.068
-1.37092e+00,0.06
-1.37088e+00,0.036
-1.37084e+00,0.064
-1.37080e+00,0.068
-1.37076e+00,0.064
-1.37072e+00,0.07
-1.37068e+00,0.064
-1.37064e+00,0.064
-1.37060e+00,0.07
-1.37056e+00,0.064
-1.37052e+00,0.074
-1.37048e+00,0.064
-1.37044e+00,0.066
-1.37040e+00,0.048
-1.37036e+00,0.042
-1.37032e+00,0.06
-1.37028e+00,0.072
-1.37024e+00,0.036
-1.37020e+00,0.07
-1.37016e+00,0.058
-1.37012e+00,0.046
-1.37008e+00,0.062
-1.37004e+00,0.072
-1.37000e+00,0.064
-1.36996e+00,0.06
-1.36992e+00,0.058
-1.36988e+00,0.058
-1.36984e+00,0.068
-1.36980e+00,0.072
-1.36976e+00,0.068
-1.36972e+00,0.068
-1.36968e+00,0.06
-1.36964e+00,0.064
-1.36960e+00,0.062
-1.36956e+00,0.062
-1.36952e+00,0.07
-1.36948e+00,0.066
-1.36944e+00,0.058
-1.36940e+00,0.072
-1.36936e+00,0.062
-1.36932e+00,0.064
-1.36928e+00,0.07
-1.36924e+00,0.056
-1.36920e+00,0.066
-1.36916e+00,0.06
-1.36912e+00,0.066
-1.36908e+00,0.068
-1.36904e+00,0.064
-1.36900e+00,0.066
-1.36896e+00,0.064
-1.36892e+00,0.062
-1.36888e+00,0.052
-1.36884e+00,0.064
-1.36880e+00,0.072
-1.36876e+00,0.062
-1.36872e+00,0.062
-1.36868e+00,0.06
-1.36864e+00,0.054
-1.36860e+00,0.072
-1.36856e+00,0.074
-1.36852e+00,0.062
-1.36848e+00,0.064
-1.36844e+00,0.074
-1.36840e+00,0.066
-1.36836e+00,0.072
-1.36832e+00,0.066
-1.36828e+00,0.06
-1.36824e+00,0.066
-1.36820e+00,0.066
-1.36816e+00,0.066
-1.36812e+00,0.07
-1.36808e+00,0.078
-1.36804e+00,0.062
-1.36800e+00,0.062
-1.36796e+00,0.064
-1.36792e+00,0.068
-1.36788e+00,0.042
-1.36784e+00,0.066
-1.36780e+00,0.05
-1.36776e+00,0.068
-1.36772e+00,0.066
-1.36768e+00,0.066
-1.36764e+00,0.066
-1.36760e+00,0.066
-1.36756e+00,0.056
-1.36752e+00,0.068
-1.36748e+00,0.058
-1.36744e+00,0.066
-1.36740e+00,0.07
-1.36736e+00,0.104
-1.36732e+00,0.062
-1.36728e+00,0.064
-1.36724e+00,0.068
-1.36720e+00,0.076
-1.36716e+00,0.074
-1.36712e+00,0.07
-1.36708e+00,0.056
-1.36704e+00,0.062
-1.36700e+00,0.058
-1.36696e+00,0.07
-1.36692e+00,0.064
-1.36688e+00,0.062
-1.36684e+00,0.056
-1.36680e+00,0.064
-1.36676e+00,0.062
-1.36672e+00,0.064
-1.36668e+00,0.07
-1.36664e+00,0.062
-1.36660e+00,0.06
-1.36656e+00,0.056
-1.36652e+00,0.058
-1.36648e+00,0.06
-1.36644e+00,0.068
-1.36640e+00,0.056
-1.36636e+00,0.048
-1.36632e+00,0.06
-1.36628e+00,0.07
-1.36624e+00,0.068
-1.36620e+00,0.074
-1.36616e+00,0.068
-1.36612e+00,0.064
-1.36608e+00,0.064
-1.36604e+00,0.074
-1.36600e+00,0.066
-1.36596e+00,0.052
-1.36592e+00,0.06
-1.36588e+00,0.054
-1.36584e+00,0.066
-1.36580e+00,0.066
-1.36576e+00,0.068
-1.36572e+00,0.066
-1.36568e+00,0.06
-1.36564e+00,0.054
-1.36560e+00,0.068
-1.36556e+00,0.058
-1.36552e+00,0.074
-1.36548e+00,0.068
-1.36544e+00,0.062
-1.36540e+00,0.064
-1.36536e+00,0.07
-1.36532e+00,0.064
-1.36528e+00,0.064
-1.36524e+00,0.06
-1.36520e+00,0.062
-1.36516e+00,0.054
-1.36512e+00,0.05
-1.36508e+00,0.072
-1.36504e+00,0.064
-1.36500e+00,0.062
-1.36496e+00,0.054
-1.36492e+00,0.064
-1.36488e+00,0.054
-1.36484e+00,0.068
-1.36480e+00,0.068
-1.36476e+00,0.074
-1.36472e+00,0.06
-1.36468e+00,0.07
-1.36464e+00,0.06
-1.36460e+00,0.062
-1.36456e+00,0.068
-1.36452e+00,0.064
-1.36448e+00,0.056
-1.36444e+00,0.062
-1.36440e+00,0.062
-1.36436e+00,0.064
-1.36432e+00,0.07
-1.36428e+00,0.066
-1.36424e+00,0.06
-1.36420e+00,0.062
-1.36416e+00,0.07
-1.36412e+00,0.062
-1.36408e+00,0.064
-1.36404e+00,0.066
-1.36400e+00,0.064
-1.36396e+00,0.06
-1.36392e+00,0.072
-1.36388e+00,0.068
-1.36384e+00,0.066
-1.36380e+00,0.068
-1.36376e+00,0.058
-1.36372e+00,0.058
-1.36368e+00,0.062
-1.36364e+00,0.072
-1.36360e+00,0.062
-1.36356e+00,0.06
-1.36352e+00,0.064
-1.36348e+00,0.06
-1.36344e+00,0.062
-1.36340e+00,0.062
-1.36336e+00,0.076
-1.36332e+00,0.06
-1.36328e+00,0.06
-1.36324e+00,0.054
-1.36320e+00,0.07
-1.36316e+00,0.064
-1.36312e+00,0.076
-1.36308e+00,0.062
-1.36304e+00,0.06
-1.36300e+00,0.056
-1.36296e+00,0.06
-1.36292e+00,0.068
-1.36288e+00,0.066
-1.36284e+00,0.07
-1.36280e+00,0.054
-1.36276e+00,0.054
-1.36272e+00,0.064
-1.36268e+00,0.064
-1.36264e+00,0.062
-1.36260e+00,0.066
-1.36256e+00,0.066
-1.36252e+00,0.066
-1.36248e+00,0.066
-1.36244e+00,0.062
-1.36240e+00,0.058
-1.36236e+00,0.066
-1.36232e+00,0.056
-1.36228e+00,0.06
-1.36224e+00,0.068
-1.36220e+00,0.074
-1.36216e+00,0.064
-1.36212e+00,0.06
-1.36208e+00,0.062
-1.36204e+00,0.062
-1.36200e+00,0.062
-1.36196e+00,0.066
-1.36192e+00,0.068
-1.36188e+00,0.058
-1.36184e+00,0.068
-1.36180e+00,0.056
-1.36176e+00,0.062
-1.36172e+00,0.062
-1.36168e+00,0.07
-1.36164e+00,0.068
-1.36160e+00,0.066
-1.36156e+00,0.056
-1.36152e+00,0.07
-1.36148e+00,0.066
-1.36144e+00,0.074
-1.36140e+00,0.058
-1.36136e+00,0.058
-1.36132e+00,0.062
-1.36128e+00,0.062
-1.36124e+00,0.068
-1.36120e+00,0.068
-1.36116e+00,0.068
-1.36112e+00,0.06
-1.36108e+00,0.062
-1.36104e+00,0.062
-1.36100e+00,0.068
-1.36096e+00,0.07
-1.36092e+00,0.064
-1.36088e+00,0.056
-1.36084e+00,0.068
-1.36080e+00,0.07
-1.36076e+00,0.062
-1.36072e+00,0.072
-1.36068e+00,0.072
-1.36064e+00,0.056
-1.36060e+00,0.056
-1.36056e+00,0.066
-1.36052e+00,0.066
-1.36048e+00,0.06
-1.36044e+00,0.068
-1.36040e+00,0.06
-1.36036e+00,0.072
-1.36032e+00,0.066
-1.36028e+00,0.066
-1.36024e+00,0.072
-1.36020e+00,0.06
-1.36016e+00,0.06
-1.36012e+00,0.048
-1.36008e+00,0.062
-1.36004e+00,0.062
-1.36000e+00,0.076
-1.35996e+00,0.06
-1.35992e+00,0.056
-1.35988e+00,0.066
-1.35984e+00,0.066
-1.35980e+00,0.066
-1.35976e+00,0.072
-1.35972e+00,0.062
-1.35968e+00,0.054
-1.35964e+00,0.058
-1.35960e+00,0.068
-1.35956e+00,0.068
-1.35952e+00,0.072
-1.35948e+00,0.062
-1.35944e+00,0.06
-1.35940e+00,0.06
-1.35936e+00,0.064
-1.35932e+00,0.068
-1.35928e+00,0.062
-1.35924e+00,0.068
-1.35920e+00,0.064
-1.35916e+00,0.072
-1.35912e+00,0.068
-1.35908e+00,0.074
-1.35904e+00,0.07
-1.35900e+00,0.06
-1.35896e+00,0.052
-1.35892e+00,0.04
-1.35888e+00,0.068
-1.35884e+00,0.074
-1.35880e+00,0.074
-1.35876e+00,0.054
-1.35872e+00,0.06
-1.35868e+00,0.064
-1.35864e+00,0.064
-1.35860e+00,0.07
-1.35856e+00,0.072
-1.35852e+00,0.06
-1.35848e+00,0.06
-1.35844e+00,0.066
-1.35840e+00,0.066
-1.35836e+00,0.062
-1.35832e+00,0.068
-1.35828e+00,0.06
-1.35824e+00,0.058
-1.35820e+00,0.068
-1.35816e+00,0.068
-1.35812e+00,0.074
-1.35808e+00,0.068
-1.35804e+00,0.058
-1.35800e+00,0.064
-1.35796e+00,0.076
-1.35792e+00,0.07
-1.35788e+00,0.064
-1.35784e+00,0.068
-1.35780e+00,0.064
-1.35776e+00,0.064
-1.35772e+00,0.068
-1.35768e+00,0.068
-1.35764e+00,0.07
-1.35760e+00,0.062
-1.35756e+00,0.06
-1.35752e+00,0.058
-1.35748e+00,0.056
-1.35744e+00,0.072
-1.35740e+00,0.068
-1.35736e+00,0.056
-1.35732e+00,0.064
-1.35728e+00,0.058
-1.35724e+00,0.062
-1.35720e+00,0.072
-1.35716e+00,0.074
-1.35712e+00,0.07
-1.35708e+00,0.056
-1.35704e+00,0.058
-1.35700e+00,0.072
-1.35696e+00,0.08
-1.35692e+00,0.072
-1.35688e+00,0.062
-1.35684e+00,0.056
-1.35680e+00,0.066
-1.35676e+00,0.062
-1.35672e+00,0.066
-1.35668e+00,0.072
-1.35664e+00,0.066
-1.35660e+00,0.05
-1.35656e+00,0.066
-1.35652e+00,0.072
-1.35648e+00,0.06
-1.35644e+00,0.062
-1.35640e+00,0.062
-1.35636e+00,0.056
-1.35632e+00,0.06
-1.35628e+00,0.062
-1.35624e+00,0.066
-1.35620e+00,0.066
-1.35616e+00,0.064
-1.35612e+00,0.054
-1.35608e+00,0.064
-1.35604e+00,0.076
-1.35600e+00,0.074
-1.35596e+00,0.064
-1.35592e+00,0.064
-1.35588e+00,0.058
-1.35584e+00,0.068
-1.35580e+00,0.064
-1.35576e+00,0.07
-1.35572e+00,0.064
-1.35568e+00,0.072
-1.35564e+00,0.066
-1.35560e+00,0.074
-1.35556e+00,0.064
-1.35552e+00,0.074
-1.35548e+00,0.058
-1.35544e+00,0.064
-1.35540e+00,0.05
-1.35536e+00,0.062
-1.35532e+00,0.068
-1.35528e+00,0.062
-1.35524e+00,0.068
-1.35520e+00,0.054
-1.35516e+00,0.062
-1.35512e+00,0.15
-1.35508e+00,0.068
-1.35504e+00,0.066
-1.35500e+00,0.068
-1.35496e+00,0.066
-1.35492e+00,0.066
-1.35488e+00,0.048
-1.35484e+00,0.072
-1.35480e+00,0.062
-1.35476e+00,0.07
-1.35472e+00,0.066
-1.35468e+00,0.06
-1.35464e+00,0.056
-1.35460e+00,0.062
-1.35456e+00,0.066
-1.35452e+00,0.06
-1.35448e+00,0.07
-1.35444e+00,0.06
-1.35440e+00,0.07
-1.35436e+00,0.046
-1.35432e+00,0.062
-1.35428e+00,0.06
-1.35424e+00,0.05
-1.35420e+00,0.06
-1.35416e+00,0.064
-1.35412e+00,0.064
-1.35408e+00,0.076
-1.35404e+00,0.064
-1.35400e+00,0.056
-1.35396e+00,0.064
-1.35392e+00,0.062
-1.35388e+00,0.068
-1.35384e+00,0.072
-1.35380e+00,0.074
-1.35376e+00,0.066
-1.35372e+00,0.06
-1.35368e+00,0.064
-1.35364e+00,0.064
-1.35360e+00,0.066
-1.35356e+00,0.07
-1.35352e+00,0.054
-1.35348e+00,0.056
-1.35344e+00,0.068
-1.35340e+00,0.07
-1.35336e+00,0.07
-1.35332e+00,0.066
-1.35328e+00,0.068
-1.35324e+00,0.056
-1.35320e+00,0.064
-1.35316e+00,0.062
-1.35312e+00,0.072
-1.35308e+00,0.066
-1.35304e+00,0.062
-1.35300e+00,0.062
-1.35296e+00,0.066
-1.35292e+00,0.064
-1.35288e+00,0.066
-1.35284e+00,0.074
-1.35280e+00,0.056
-1.35276e+00,0.06
-1.35272e+00,0.066
-1.35268e+00,0.06
-1.35264e+00,0.08
-1.35260e+00,0.064
-1.35256e+00,0.062
-1.35252e+00,0.058
-1.35248e+00,0.062
-1.35244e+00,0.068
-1.35240e+00,0.064
-1.35236e+00,0.072
-1.35232e+00,0.068
-1.35228e+00,0.062
-1.35224e+00,0.064
-1.35220e+00,0.04
-1.35216e+00,0.072
-1.35212e+00,0.072
-1.35208e+00,0.06
-1.35204e+00,0.056
-1.35200e+00,0.068
-1.35196e+00,0.066
-1.35192e+00,0.07
-1.35188e+00,0.06
-1.35184e+00,0.06
-1.35180e+00,0.06
-1.35176e+00,0.062
-1.35172e+00,0.07
-1.35168e+00,0.064
-1.35164e+00,0.066
-1.35160e+00,0.056
-1.35156e+00,0.062
-1.35152e+00,0.074
-1.35148e+00,0.07
-1.35144e+00,0.058
-1.35140e+00,0.066
-1.35136e+00,0.104
-1.35132e+00,0.062
-1.35128e+00,0.062
-1.35124e+00,0.06
-1.35120e+00,0.07
-1.35116e+00,0.064
-1.35112e+00,0.062
-1.35108e+00,0.064
-1.35104e+00,0.058
-1.35100e+00,0.068
-1.35096e+00,0.072
-1.35092e+00,0.056
-1.35088e+00,0.06
-1.35084e+00,0.048
